team,pred_wins,dk_wins
ARI,8,6.5
ATL,7.8,9.5
BAL,11.1,10.5
BUF,9.2,10
CAR,7.2,5.5
CHI,8.6,9
CIN,9.6,10.5
CLE,8.5,8.5
DAL,10.5,9.5
DEN,6.3,6
DET,9.1,10.5
GB,7.6,9.5
HOU,8.5,9.5
IND,8.7,8.5
JAX,8.7,8.5
KC,10.4,11.5
LA,10.1,9
LAC,7.8,9
LV,7.6,6.5
MIA,9,9.5
MIN,7.1,6.5
NE,7.2,4.5
NO,8.4,7.5
NYG,8.2,6.5
NYJ,7.5,10
PHI,8.4,10.5
PIT,9.5,8
SEA,8,8
SF,12.2,11.5
TB,7.6,7.5
TEN,7.2,6.5
WAS,6.6,6.5
