Rank,Player (Bye),POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG,Real-Time
1,Jahmyr Gibbs   DET (6),RB1,1,2,1,—,1,—,1.3,1
2,Bijan Robinson   ATL (11),RB2,2,1,2,—,2,—,1.8,2
3,Ja'Marr Chase   CIN (6),WR1,4,3,3,—,3,—,3.3,3
4,Puka Nacua   LAR (11),WR2,3,4,4,—,4,—,3.8,4
5,Jaxon Smith-Njigba   SEA (11),WR3,5,5,5,—,6,—,5.3,5
6,Christian McCaffrey   SF (8),RB3,6,6,7,—,5,—,6.0,6
7,Jonathan Taylor   IND (13),RB4,7,7,6,—,7,—,6.8,8
8,Amon-Ra St. Brown   DET (6),WR4,8,10,8,—,9,—,8.8,7
9,James Cook III   BUF (7),RB5,12,8,10,—,10,—,10.0,9
10,CeeDee Lamb   DAL (14),WR5,9,9,11,—,16,—,11.3,10
11,De'Von Achane   MIA (6),RB6,11,15,9,—,11,—,11.5,14
12,Justin Jefferson   MIN (6),WR6,10,11,14,—,12,—,11.8,11
13,Ashton Jeanty   LV (13),RB7,15,14,13,—,8,—,12.5,12
14,Drake London   ATL (11),WR7,17,12,15,—,18,—,15.5,17
15,Saquon Barkley   PHI (10),RB8,13,19,16,—,15,—,15.8,15
16,Omarion Hampton   LAC (7),RB9,19,17,17,—,14,—,16.8,13
17,Chase Brown   CIN (6),RB10,25,23,12,—,13,—,18.3,18
18,Trey McBride   ARI (14),TE1,16,16,27,—,19,—,19.5,21
19,Kenneth Walker III   KC (5),RB11,28,13,23,—,17,—,20.3,16
20,Derrick Henry   BAL (13),RB12,18,25,18,—,22,—,20.8,20
21,Jeremiyah Love   ARI (14),RB13,14,20,29,—,21,—,21.0,24
22,Brock Bowers   LV (13),TE2,22,21,25,—,23,—,22.8,22
23,A.J. Brown   NE (11),WR8,24,29,22,—,20,—,23.8,19
24,George Pickens   DAL (14),WR9,27,24,20,—,24,—,23.8,25
25,Nico Collins   HOU (8),WR10,26,22,21,—,26,—,23.8,23
26,Josh Allen   BUF (7),QB1,21,28,26,—,25,—,25.0,27
27,Josh Jacobs   GB (11),RB14,23,27,24,—,27,—,25.3,28
28,Rashee Rice   KC (5),WR11,20,33,19,—,33,—,26.3,26
29,Chris Olave   NO (8),WR12,31,26,30,—,29,—,29.0,29
30,Kyren Williams   LAR (11),RB15,35,31,28,—,30,—,31.0,30
31,Breece Hall   NYJ (13),RB16,29,32,31,—,32,—,31.0,32
32,Javonte Williams   DAL (14),RB17,32,38,37,—,28,—,33.8,33
33,Malik Nabers   NYG (8),WR13,41,18,32,—,45,—,34.0,31
34,DeVonta Smith   PHI (10),WR14,33,44,35,—,36,—,37.0,35
35,Travis Etienne Jr.   NO (8),RB18,44,35,38,—,34,—,37.8,36
36,Cam Skattebo   NYG (8),RB19,39,49,33,—,31,—,38.0,41
37,Emeka Egbuka   TB (10),WR15,34,45,36,—,37,—,38.0,40
38,Garrett Wilson   NYJ (13),WR16,30,39,42,—,46,—,39.3,38
39,Tetairoa McMillan   CAR (5),WR17,36,36,43,—,42,—,39.3,37
40,Zay Flowers   BAL (13),WR18,38,43,39,—,40,—,40.0,39
41,Bucky Irving   TB (10),RB20,51,30,44,—,38,—,40.8,43
42,Tee Higgins   CIN (6),WR19,50,34,34,—,47,—,41.3,34
43,Lamar Jackson   BAL (13),QB2,37,37,41,—,53,—,42.0,44
44,Colston Loveland   CHI (10),TE3,40,41,40,—,49,—,42.5,45
45,Quinshon Judkins   CLE (11),RB21,47,53,45,—,35,—,45.0,48
46,Ladd McConkey   LAC (7),WR20,49,42,46,—,48,—,46.3,42
47,Luther Burden III   CHI (10),WR21,67,40,50,—,44,—,50.3,47
48,Tyler Warren   IND (13),TE4,43,50,53,—,57,—,50.8,53
49,Jaylen Waddle   DEN (10),WR22,52,46,51,—,54,—,50.8,46
50,TreVeyon Henderson   NE (11),RB22,56,48,57,—,43,—,51.0,50
51,Davante Adams   LAR (11),WR23,42,47,54,—,63,—,51.5,49
52,Drake Maye   NE (11),QB3,45,51,49,—,61,—,51.5,55
53,Terry McLaurin   WAS (7),WR24,54,55,48,—,55,—,53.0,51
54,DJ Moore   BUF (7),WR25,60,58,56,—,39,—,53.3,57
55,David Montgomery   HOU (8),RB23,63,54,59,—,41,—,54.3,52
56,Joe Burrow   CIN (6),QB4,53,56,52,—,59,—,55.0,59
57,D'Andre Swift   CHI (10),RB24,61,64,47,—,51,—,55.8,54
58,Jameson Williams   DET (6),WR26,57,52,60,—,58,—,56.8,58
59,Bhayshul Tuten   JAC (7),RB25,66,59,55,—,50,—,57.5,60
60,Jayden Daniels   WAS (7),QB5,46,60,61,—,68,—,58.8,65
61,Mike Evans   SF (8),WR27,76,57,58,—,56,—,61.8,56
62,Rome Odunze   CHI (10),WR28,62,63,62,—,65,—,63.0,61
63,Jadarian Price   SEA (11),RB26,65,80,63,—,52,—,65.0,64
64,Harold Fannin Jr.   CLE (11),TE5,68,61,78,—,60,—,66.8,71
65,Jalen Hurts   PHI (10),QB6,48,65,77,—,79,—,67.3,72
66,Kyle Pitts Sr.   ATL (11),TE6,55,71,69,—,74,—,67.3,74
67,Carnell Tate   TEN (9),WR29,58,62,76,—,77,—,68.3,62
68,Christian Watson   GB (11),WR30,85,68,65,—,69,—,71.8,63
69,Marvin Harrison Jr.   ARI (14),WR31,70,75,66,—,78,—,72.3,68
70,Sam LaPorta   DET (6),TE7,59,76,67,—,93,—,73.8,76
71,Tony Pollard   TEN (9),RB27,75,86,70,—,67,—,74.5,79
72,Jaylen Warren   PIT (9),RB28,90,73,75,—,64,—,75.5,67
73,Brian Thomas Jr.   JAC (7),WR32,91,70,79,—,71,—,77.8,66
74,Courtland Sutton   DEN (10),WR33,73,78,81,—,81,—,78.3,80
75,Alec Pierce   IND (13),WR34,82,84,64,—,84,—,78.5,75
76,Chuba Hubbard   CAR (5),RB29,98,74,68,—,76,—,79.0,70
77,Rico Dowdle   PIT (9),RB30,96,88,71,—,66,—,80.3,85
78,DK Metcalf   PIT (9),WR35,74,72,91,—,89,—,81.5,77
79,RJ Harvey   DEN (10),RB31,118,67,80,—,62,—,81.8,78
80,Tucker Kraft   GB (11),TE8,102,66,74,—,86,—,82.0,69
81,Jaxson Dart   NYG (8),QB7,64,81,88,—,99,—,83.0,94
82,Jordyn Tyson   NO (8),WR36,84,69,84,—,96,—,83.3,73
83,Dak Prescott   DAL (14),QB8,80,91,72,—,91,—,83.5,93
84,Rhamondre Stevenson   NE (11),RB32,104,82,82,—,70,—,84.5,81
85,Michael Wilson   ARI (14),WR37,107,79,96,—,73,—,88.8,86
86,George Kittle   SF (8),TE9,72,97,85,—,105,—,89.8,95
87,Caleb Williams   CHI (10),QB9,79,83,107,—,95,—,91.0,82
88,Parker Washington   JAC (7),WR38,92,89,89,—,94,—,91.0,83
89,Wan'Dale Robinson   TEN (9),WR39,106,104,87,—,75,—,93.0,102
90,Justin Herbert   LAC (7),QB10,100,85,86,—,101,—,93.0,88
91,J.K. Dobbins   DEN (10),RB33,111,93,90,—,80,—,93.5,90
92,Kyle Monangai   CHI (10),RB34,119,90,97,—,72,—,94.5,89
93,Makai Lemon   PHI (10),WR40,99,77,99,—,106,—,95.3,84
94,Jakobi Meyers   JAC (7),WR41,103,87,94,—,97,—,95.3,99
95,Michael Pittman Jr.   PIT (9),WR42,77,103,108,—,104,—,98.0,92
96,Chris Godwin Jr.   TB (10),WR43,134,94,83,—,82,—,98.3,87
97,Trevor Lawrence   JAC (7),QB11,83,92,121,—,98,—,98.5,101
98,Travis Kelce   KC (5),TE10,88,109,105,—,102,—,101.0,104
99,Ricky Pearsall   SF (8),WR44,112,99,95,—,103,—,102.3,98
100,Kenny Gainwell   TB (10),RB35,116,108,100,—,90,—,103.5,97
101,Isaiah Likely   NYG (8),TE11,120,117,93,—,88,—,104.5,114
102,Blake Corum   LAR (11),RB36,129,98,104,—,92,—,105.8,96
103,Brock Purdy   SF (8),QB12,93,105,109,—,117,—,106.0,113
104,Matthew Stafford   LAR (11),QB13,69,114,122,—,121,—,106.5,119
105,Patrick Mahomes II   KC (5),QB14,94,100,116,—,119,—,107.3,109
106,Aaron Jones Sr.   MIN (6),RB37,108,110,111,—,107,—,109.0,100
107,Jordan Addison   MIN (6),WR45,115,101,114,—,108,—,109.5,106
108,Rachaad White   WAS (7),RB38,117,126,112,—,85,—,110.0,103
109,Jacory Croskey-Merritt   WAS (7),RB39,136,113,101,—,100,—,112.5,108
110,Dallas Goedert   PHI (10),TE12,89,111,102,—,149,—,112.8,120
111,Jonathon Brooks   CAR (5),RB40,121,138,106,—,87,—,113.0,107
112,Quentin Johnston   LAC (7),WR46,140,102,98,—,114,—,113.5,91
113,Jake Ferguson   DAL (14),TE13,101,106,133,—,116,—,114.0,115
114,Josh Downs   IND (13),WR47,131,123,92,—,111,—,114.3,105
115,Jordan Mason   MIN (6),RB41,143,128,110,—,83,—,116.0,110
116,Jayden Reed   GB (11),WR48,132,116,117,—,109,—,118.5,111
117,Mark Andrews   BAL (13),TE14,114,112,129,—,124,—,119.8,123
118,Matthew Golden   GB (11),WR49,95,132,128,—,135,—,122.5,125
119,Bo Nix   DEN (10),QB15,87,119,171,—,115,—,123.0,124
120,Dalton Kincaid   BUF (7),TE15,130,96,140,—,131,—,124.3,112
121,Romeo Doubs   NE (11),WR50,142,115,126,—,125,—,127.0,117
122,Xavier Worthy   KC (5),WR51,135,133,118,—,123,—,127.3,116
123,Jared Goff   DET (6),QB16,137,120,136,—,122,—,128.8,131
124,Zach Charbonnet   SEA (11),RB42,152,124,124,—,118,—,129.5,127
125,Woody Marks   HOU (8),RB43,145,140,141,—,110,—,134.0,132
126,KC Concepcion   CLE (11),WR52,139,144,123,—,133,—,134.8,118
127,Khalil Shakir   BUF (7),WR53,123,131,134,—,154,—,135.5,122
