player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
D'Wayne Eskridge,29573,WR,MIA,10,0,17,75.9,100.0,9,34.6,9,77.1,0,100.0,26,26,54.5,100.0,12,46.2,12
Bijan Robinson,123126,HB,ATL,17,0,2,60.0,1.5,1,3.8,65,41.9,0,8.2,26,317,56.6,8.9,22,84.6,247
Ty Johnson,45769,HB,BUF,17,0,4,68.4,40.0,8,32.0,20,62.1,0,34.2,25,73,58.8,15.8,6,24.0,38
Kenneth Gainwell,77737,HB,PIT,17,0,25,60.1,7.3,3,12.0,41,56.6,0,18.0,25,139,59.6,4.1,3,12.0,73
Noah Brown,11993,WR,WAS,4,0,32,58.8,100.0,16,64.0,16,42.4,0,100.0,25,25,61.3,100.0,9,36.0,9
Blake Hance,46301,G,TEN,4,0,31,59.6,100.0,11,45.8,11,59.9,0,100.0,24,24,60.4,100.0,12,50.0,12
Bryce Cabeldue,122550,G,SEA,5,0,29,57.4,100.0,6,25.0,6,70.7,1,100.0,24,24,74.1,100.0,14,58.3,14
D'Andre Swift,57212,HB,CHI,16,0,6,56.9,4.1,3,12.5,73,56.5,1,9.6,24,249,60.4,3.2,5,20.8,155
Robbie Chosen,11254,WR,WAS,3,0,32,59.5,100.0,9,37.5,9,57.2,0,100.0,24,24,56.8,100.0,14,58.3,14
Emery Jones Jr.,157117,G,BLT,5,0,3,37.2,100.0,8,33.3,8,45.6,1,100.0,24,24,60.8,100.0,10,41.7,10
Travis Vokolek,61004,TE,ARZ,3,0,1,49.6,100.0,19,79.2,19,46.5,0,100.0,24,24,51.0,100.0,3,12.5,3
Cam Skattebo,147787,HB,NYG,8,0,21,79.5,20.8,10,41.7,48,83.1,0,18.3,24,131,60.0,5.6,4,16.7,71
TreVeyon Henderson,145059,HB,NE,17,0,19,59.7,0.9,1,4.2,111,60.2,0,11.4,24,210,60.2,4.7,3,12.5,64
Jarrett Kingston,81933,G,HST,2,0,13,56.7,100.0,16,66.7,16,55.9,0,100.0,24,24,57.2,100.0,8,33.3,8
James Hudson III,59854,T,NYG,2,0,21,47.6,100.0,10,41.7,10,49.9,1,100.0,24,24,57.3,100.0,11,45.8,11
Kyle Monangai,129891,HB,CHI,16,0,6,59.1,6.8,4,16.7,59,59.4,0,12.1,24,198,60.0,0.9,1,4.2,117
Javonte Williams,77803,HB,DAL,16,0,9,60.0,0.9,1,4.3,113,56.9,0,8.3,23,278,60.0,0.7,1,4.3,142
Alvin Kamara,11822,HB,NO,11,0,20,56.6,18.0,11,47.8,61,68.0,0,14.6,23,157,60.0,4.8,4,17.4,84
Josiah Deguara,47034,TE,ARZ,8,0,1,40.4,100.0,15,65.2,15,43.0,0,100.0,23,23,58.6,100.0,4,17.4,4
Tai Felton,144886,WR,MIN,6,0,18,60.0,100.0,5,21.7,5,62.8,0,100.0,23,23,61.9,100.0,12,52.2,12
Zak Zinter,129605,G,CLV,4,0,8,45.4,100.0,8,36.4,8,48.5,0,100.0,22,22,57.1,100.0,11,50.0,11
Woody Marks,124179,HB,HST,16,0,13,60.0,1.0,1,4.5,105,77.6,0,9.7,22,226,60.0,2.1,2,9.1,97
Kyren Williams,97118,HB,LA,17,0,26,,0.0,0,0.0,137,57.7,0,7.6,22,290,60.0,1.6,2,9.1,129
Joshua Dobbs,11890,QB,NE,4,0,19,60.0,100.0,9,40.9,9,60.0,0,71.0,22,31,60.0,100.0,10,45.5,10
Ko Kieft,41372,TE,TB,3,0,30,73.9,100.0,10,45.5,10,83.6,0,100.0,22,22,72.7,100.0,11,50.0,11
Trevor Etienne,157730,HB,CAR,13,0,5,60.0,8.3,1,4.5,12,62.3,0,53.7,22,41,60.3,33.3,4,18.2,12
Mason Kinsey,115664,WR,TEN,8,0,31,59.2,100.0,14,66.7,14,58.3,0,100.0,21,21,59.4,100.0,5,23.8,5
Jeremy McNichols,11917,HB,WAS,17,0,32,66.3,31.0,9,42.9,29,67.9,0,30.9,21,68,60.0,3.6,1,4.8,28
Gardner Minshew,41401,QB,KC,3,0,16,60.0,100.0,1,4.8,1,60.0,0,80.8,21,26,60.0,100.0,19,90.5,19
Nick Mullens,12282,QB,JAX,5,0,15,60.0,100.0,11,52.4,11,60.0,0,63.6,21,33,60.0,100.0,9,42.9,9
Nikko Remigio,84150,WR,KC,5,0,16,60.0,100.0,2,9.5,2,59.5,0,95.5,21,22,58.8,100.0,18,85.7,18
Stone Smartt,60492,TE,NYJ,6,0,22,,,0,0.0,0,49.6,0,100.0,21,21,52.7,100.0,14,66.7,14
Cam Grandy,134552,TE,CIN,5,0,7,55.8,100.0,7,33.3,7,61.0,0,100.0,21,21,65.6,100.0,9,42.9,9
Chase Brown,77787,HB,CIN,17,0,7,59.8,0.9,1,5.0,113,56.1,0,7.7,20,261,58.5,2.5,3,15.0,119
Lucas Krull,83962,TE,DEN,3,0,10,57.1,100.0,9,45.0,9,55.0,0,100.0,20,20,55.0,100.0,7,35.0,7
Jared Wayne,99691,WR,HST,1,0,13,59.0,100.0,8,40.0,8,59.5,0,100.0,20,20,60.8,100.0,8,40.0,8
Isiah Pacheco,83747,HB,KC,13,0,16,60.0,4.0,1,5.0,25,60.7,0,14.4,20,139,60.0,1.1,1,5.0,91
Brian Robinson,57120,HB,SF,15,0,28,,0.0,0,0.0,30,60.6,0,17.7,20,113,60.0,1.6,1,5.0,62
Bhayshul Tuten,150568,HB,JAX,15,0,15,60.0,8.8,3,15.0,34,53.1,0,19.0,20,105,,0.0,0,0.0,53
Samaje Perine,11869,HB,CIN,13,0,7,57.1,7.0,3,15.0,43,57.7,0,19.0,20,105,60.0,4.3,2,10.0,46
Adin Huntington,130493,DI,CLV,10,0,8,65.6,100.0,8,40.0,8,63.5,0,100.0,20,20,60.1,100.0,4,20.0,4
Andre James,47058,C,LAC,2,0,27,46.6,100.0,9,45.0,9,33.8,0,100.0,20,20,43.6,100.0,6,30.0,6
LeQuint Allen,158290,HB,JAX,13,0,15,60.0,20.0,2,10.0,10,44.7,0,46.5,20,43,57.7,21.1,4,20.0,19
Emanuel Wilson,154173,HB,GB,17,0,12,60.0,4.0,2,10.0,50,31.6,0,13.8,20,145,59.1,6.1,5,25.0,82
Andre Baccellia,47901,WR,ARZ,4,0,1,54.3,100.0,12,60.0,12,51.5,0,100.0,20,20,60.1,100.0,7,35.0,7
Calvin Throckmorton,28238,G,DEN,4,0,10,85.6,100.0,8,40.0,8,79.6,0,100.0,20,20,64.0,100.0,7,35.0,7
Kenny Pickett,60515,QB,LV,5,0,23,60.0,100.0,8,40.0,8,60.0,0,90.9,20,22,60.0,84.6,11,55.0,13
Joe Milton III,82151,QB,DAL,4,0,9,60.0,100.0,6,31.6,6,60.0,0,90.5,19,21,60.0,83.3,10,52.6,12
Kareem Hunt,11841,HB,KC,17,0,16,59.1,3.8,2,10.5,53,57.2,1,10.4,19,183,,0.0,0,0.0,104
Christian Haynes,77339,G,SEA,2,0,29,57.8,100.0,7,36.8,7,41.3,0,100.0,19,19,38.2,100.0,11,57.9,11
Jahdae Walker,175944,WR,CHI,7,0,6,59.6,100.0,4,21.1,4,58.5,0,100.0,19,19,58.8,100.0,13,68.4,13
Kenneth Walker III,97199,HB,SEA,17,0,29,60.0,1.1,1,5.3,94,58.0,1,7.6,19,249,58.8,3.0,4,21.1,135
Omarion Hampton,162750,HB,LAC,9,0,27,58.6,4.1,3,16.7,73,66.6,0,12.1,18,149,57.4,5.0,3,16.7,60
David Quessenberry,7957,T,LA,3,0,26,57.4,100.0,7,38.9,7,58.0,0,100.0,18,18,59.7,100.0,2,11.1,2
Trey Lance,91399,QB,LAC,3,0,27,60.0,81.8,9,50.0,11,60.0,0,64.3,18,28,60.0,70.0,7,38.9,10
Laquon Treadwell,10657,WR,IND,7,0,14,53.6,100.0,10,55.6,10,54.5,0,100.0,18,18,59.3,100.0,5,27.8,5
Isaiah Davis,138299,HB,NYJ,15,0,22,58.0,17.6,3,16.7,17,57.6,0,29.5,18,61,59.1,13.3,4,22.2,30
Tom Kennedy,94379,WR,DET,2,0,11,59.3,100.0,9,52.9,9,54.2,0,100.0,17,17,53.0,100.0,6,35.3,6
Jaylen Warren,98692,HB,PIT,16,0,25,58.6,4.1,3,17.6,74,54.1,0,7.3,17,232,73.2,2.7,4,23.5,146
Miles Frazier,123626,G,DET,4,0,11,54.1,100.0,6,35.3,6,39.2,0,100.0,17,17,37.7,100.0,9,52.9,9
Brandon Allen,10835,QB,TEN,1,0,31,60.0,100.0,10,58.8,10,60.0,0,100.0,17,17,60.0,100.0,7,41.2,7
