player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Sal Cannella,60853,TE,CLV,2,0,8,59.2,100.0,2,28.6,2,54.1,0,100.0,7,7,55.0,100.0,3,42.9,3
Michael Niese,108444,C,DET,1,0,11,59.9,100.0,2,28.6,2,65.1,0,100.0,7,7,65.8,100.0,4,57.1,4
Julius Chestnut,109239,HB,TEN,10,0,31,51.8,22.2,2,28.6,9,40.4,0,38.9,7,18,60.0,25.0,1,14.3,4
Will Shipley,144138,HB,PHI,11,0,24,,0.0,0,0.0,5,77.8,0,35.0,7,20,60.0,11.1,1,14.3,9
Raheim Sanders,146626,HB,CLV,4,0,8,,0.0,0,0.0,10,59.7,0,20.0,7,35,60.0,5.6,1,14.3,18
Jaydon Blue,157303,HB,DAL,5,0,9,,0.0,0,0.0,14,60.0,0,14.9,7,47,,0.0,0,0.0,24
Raheem Mostert,9783,HB,LV,9,0,23,,0.0,0,0.0,3,60.0,0,21.4,6,28,60.0,5.6,1,16.7,18
Carson Vinson,142734,T,BLT,2,0,3,60.0,100.0,1,16.7,1,74.6,0,100.0,6,6,61.0,100.0,1,16.7,1
Kendall Lamm,10017,T,MIA,1,0,17,55.3,100.0,3,50.0,3,51.1,0,100.0,6,6,53.9,100.0,3,50.0,3
Hassan Haskins,83701,HB,LAC,6,0,27,60.0,18.2,2,33.3,11,71.6,0,26.1,6,23,,0.0,0,0.0,8
Zach Davidson,143780,TE,NYG,1,0,21,63.7,100.0,3,50.0,3,72.8,0,100.0,6,6,,,0,0.0,0
Stephen Carlson,94365,TE,CHI,2,0,6,56.5,100.0,2,33.3,2,55.1,0,100.0,6,6,59.4,100.0,3,50.0,3
DeeJay Dallas,55632,HB,JAX,3,0,15,,0.0,0,0.0,1,60.0,0,66.7,6,9,,0.0,0,0.0,2
Chris Blair,84096,WR,ATL,1,0,2,60.0,100.0,1,16.7,1,58.4,1,100.0,6,6,58.2,100.0,5,83.3,5
Garrett Dellinger,146770,G,TEN,1,0,31,,,0,0.0,0,62.2,0,100.0,6,6,49.3,100.0,5,83.3,5
Ryan McCollum,41974,C,PIT,2,0,25,,,0,0.0,0,67.6,0,100.0,6,6,68.1,100.0,3,50.0,3
Xavier Restrepo,122220,WR,TEN,2,0,31,59.7,100.0,2,33.3,2,53.5,0,100.0,6,6,60.2,100.0,3,50.0,3
Ronnie Rivers,57208,HB,LA,3,0,26,,0.0,0,0.0,8,60.0,0,37.5,6,16,,0.0,0,0.0,2
Albert Okwuegbunam,41933,TE,LV,1,0,23,60.0,100.0,1,16.7,1,56.0,0,100.0,6,6,57.6,100.0,4,66.7,4
Quentin Skinner,122579,WR,NYJ,1,0,22,,,0,0.0,0,48.2,0,100.0,6,6,48.8,100.0,5,83.3,5
Blake Corum,129574,HB,LA,17,0,26,60.0,1.4,1,16.7,73,44.6,0,3.9,6,153,,0.0,0,0.0,73
Jovaughn Gwyn,81839,G,ATL,4,0,2,,,0,0.0,0,77.6,0,100.0,6,6,77.5,100.0,5,83.3,5
Caedan Wallace,98427,G,NE,1,0,19,60.0,100.0,1,16.7,1,69.1,0,100.0,6,6,68.4,100.0,3,50.0,3
Justin Shorter,84376,WR,LV,3,0,23,,,0,0.0,0,60.0,0,100.0,5,5,60.0,100.0,3,60.0,3
D'Ernest Johnson,45734,HB,NE,5,0,19,,0.0,0,0.0,6,60.0,0,25.0,5,20,60.0,11.1,1,20.0,9
River Cracraft,47417,WR,WAS,1,0,32,,,0,0.0,0,59.7,0,100.0,5,5,59.3,100.0,4,80.0,4
Tahj Washington,97288,WR,MIA,2,0,17,60.0,100.0,2,40.0,2,60.0,0,100.0,5,5,60.0,100.0,1,20.0,1
Talanoa Hufanga,83903,S,DEN,3,0,10,,,0,0.0,0,60.0,0,100.0,5,5,,,0,0.0,0
Ameer Abdullah,9487,HB,IND,9,0,14,59.8,50.0,2,40.0,4,56.3,0,26.3,5,19,60.0,14.3,2,40.0,14
Tyler Badie,83714,HB,DEN,6,0,10,59.3,66.7,2,40.0,3,58.9,0,41.7,5,12,,0.0,0,0.0,6
Dameon Pierce,83659,HB,KC,3,0,16,,0.0,0,0.0,8,60.0,0,26.3,5,19,60.0,14.3,1,20.0,7
Xavier Gipson,104136,WR,NYG,2,0,21,,,0,0.0,0,60.0,0,100.0,5,5,60.0,100.0,2,40.0,2
George Holani,72154,HB,SEA,4,0,29,59.9,16.7,1,20.0,6,60.0,0,18.5,5,27,,0.0,0,0.0,17
Jackson Meeks,146714,WR,DET,2,0,11,60.0,100.0,1,20.0,1,60.3,0,100.0,5,5,60.0,100.0,1,20.0,1
Brandon Smith,61327,WR,NYJ,1,0,22,60.0,100.0,1,20.0,1,60.6,0,100.0,5,5,60.0,100.0,2,40.0,2
Michael Carter,57337,HB,ARZ,13,0,1,60.0,1.6,1,20.0,62,71.3,0,5.0,5,100,60.0,2.9,1,20.0,34
Kaleb Johnson,156419,HB,PIT,10,0,25,,0.0,0,0.0,6,60.0,1,12.1,4,33,,0.0,0,0.0,23
Nick Zakelj,59693,G,SF,1,0,28,60.0,100.0,1,25.0,1,48.6,0,100.0,4,4,48.8,100.0,3,75.0,3
Antonio Gibson,78050,HB,NE,5,0,19,60.0,10.0,1,25.0,10,60.0,0,13.8,4,29,,0.0,0,0.0,13
Emari Demercado,77763,HB,ARZ,12,0,1,60.0,3.0,1,25.0,33,29.6,0,8.3,4,48,,0.0,0,0.0,12
Ja'Corey Brooks,146587,WR,WAS,1,0,32,57.1,100.0,3,75.0,3,55.8,0,100.0,4,4,60.0,100.0,1,25.0,1
Tyler Goodson,101659,HB,IND,7,0,14,,0.0,0,0.0,7,60.2,0,30.8,4,13,60.0,50.0,2,50.0,4
Kalel Mullings,129590,HB,TEN,3,0,31,,0.0,0,0.0,3,60.0,0,57.1,4,7,,,0,0.0,0
Zamir White,83665,HB,LV,5,0,23,,0.0,0,0.0,1,60.0,0,25.0,4,16,,0.0,0,0.0,11
Dan Chisena,34061,WR,CAR,1,0,5,60.0,100.0,1,25.0,1,54.3,0,100.0,4,4,60.0,100.0,3,75.0,3
Trayveon Williams,45775,HB,CLV,5,0,8,60.0,33.3,1,25.0,3,60.0,0,28.6,4,14,60.0,11.1,1,25.0,9
Velus Jones Jr.,40573,HB,SEA,4,0,29,59.6,25.0,1,25.0,4,60.0,0,44.4,4,9,60.0,33.3,1,25.0,3
Jack Nelson,129927,T,ATL,2,0,2,60.2,100.0,3,75.0,3,60.1,0,100.0,4,4,,,0,0.0,0
Jordan James,163295,HB,SF,1,0,28,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Sean McKeon,42266,TE,IND,1,0,14,,,0,0.0,0,60.6,0,100.0,3,3,60.6,100.0,3,100.0,3
Josh Sills,41748,G,IND,1,0,14,74.2,100.0,2,66.7,2,77.9,0,100.0,3,3,60.0,100.0,1,33.3,1
Khalil Herbert,41668,HB,NYJ,3,0,22,,0.0,0,0.0,1,60.0,0,15.8,3,19,,0.0,0,0.0,14
Najee Harris,57121,HB,LAC,3,0,27,,0.0,0,0.0,7,60.0,0,15.8,3,19,,0.0,0,0.0,8
Tejhaun Palmer,145443,WR,ARZ,1,0,1,60.2,100.0,3,100.0,3,60.2,0,100.0,3,3,,,0,0.0,0
Cameron Heyward,6183,DI,PIT,1,0,25,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Jarrett Stidham,13725,QB,DEN,1,0,10,60.0,100.0,1,33.3,1,60.0,0,75.0,3,4,60.0,100.0,2,66.7,2
Dalevon Campbell,101711,WR,LAC,1,0,27,,,0,0.0,0,60.0,0,100.0,3,3,60.0,100.0,3,100.0,3
Austin Ekeler,12164,HB,WAS,2,0,32,60.0,22.2,2,66.7,9,58.8,0,17.6,3,17,60.0,14.3,1,33.3,7
Nate Carter,147376,HB,ATL,4,0,2,,0.0,0,0.0,2,60.0,0,25.0,3,12,,0.0,0,0.0,7
Aaron Jones,11937,HB,MIN,12,0,18,,0.0,0,0.0,56,87.9,0,2.2,3,136,,0.0,0,0.0,75
Kedon Slovis,100580,QB,ARZ,2,0,1,60.0,100.0,3,100.0,3,60.0,0,100.0,3,3,,,0,0.0,0
Austin McNamara,99363,P,NYJ,3,0,22,,,0,0.0,0,59.7,0,100.0,3,3,,,0,0.0,0
James Conner,11860,HB,ARZ,3,1,1,60.0,6.5,2,66.7,31,60.0,1,7.9,3,38,60.0,16.7,1,33.3,6
Eric Gray,99143,HB,NYG,1,0,21,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Chase Lundt,98515,T,BUF,1,0,4,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Bryan Hudson,98241,C,NYG,1,0,21,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Elijah Chatman,97568,DI,NYG,2,0,21,59.2,100.0,1,33.3,1,53.7,0,100.0,3,3,55.6,100.0,2,66.7,2
Shedrick Jackson,84136,WR,LV,3,0,23,,,0,0.0,0,59.8,0,75.0,3,4,60.0,66.7,2,66.7,3
Phil Mafah,144123,HB,DAL,1,0,9,,0.0,0,0.0,3,59.4,0,28.6,2,7,59.4,50.0,2,100.0,4
Trevor Keegan,101544,G,DAL,1,0,9,57.7,100.0,2,100.0,2,57.7,0,100.0,2,2,,,0,0.0,0
Ty Chandler,62942,HB,MIN,2,0,18,,0.0,0,0.0,4,60.0,0,10.0,2,20,,0.0,0,0.0,14
Josh Williams,99171,HB,TB,2,0,30,58.6,50.0,2,100.0,4,58.6,0,28.6,2,7,,0.0,0,0.0,3
Kene Nwangwu,40547,HB,NYJ,3,0,22,,0.0,0,0.0,4,60.0,0,13.3,2,15,,0.0,0,0.0,9
Parris Campbell,47940,WR,DAL,1,0,9,,,0,0.0,0,59.9,0,100.0,2,2,60.0,100.0,1,50.0,1
Jeff Wilson Jr.,29413,HB,MIA,1,0,17,59.7,100.0,2,100.0,2,59.7,0,100.0,2,2,,,0,0.0,0
Miles Sanders,40555,HB,DAL,4,0,9,,0.0,0,0.0,9,60.0,0,8.7,2,23,,0.0,0,0.0,11
Ben Cleveland,41696,G,BLT,2,0,3,51.4,100.0,2,100.0,2,51.4,0,100.0,2,2,,,0,0.0,0
Vita Vea,48956,DI,TB,2,0,30,58.9,100.0,2,100.0,2,58.9,0,100.0,2,2,,,0,0.0,0
Amari Kight,99064,T,SEA,2,0,29,,,0,0.0,0,51.2,0,100.0,2,2,51.2,100.0,2,100.0,2
Thomas Hennessy,12124,LS,NYJ,2,0,22,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
Sam Mustipher,13026,C,DEN,1,0,10,60.0,100.0,1,50.0,1,55.1,0,100.0,2,2,60.0,100.0,1,50.0,1
Owen Wright,57486,HB,TB,3,0,30,,,0,0.0,0,60.0,0,40.0,2,5,,0.0,0,0.0,3
Dylan Laube,88664,HB,LV,4,0,23,,0.0,0,0.0,2,60.0,0,22.2,2,9,60.0,16.7,1,50.0,6
Donovan Jennings,86861,G,GB,1,0,12,,,0,0.0,0,59.1,0,100.0,2,2,59.1,100.0,2,100.0,2
Michael Bandy,91824,WR,DEN,2,0,10,60.0,100.0,2,100.0,2,60.0,0,100.0,2,2,,,0,0.0,0
Clyde Edwards-Helaire,57279,HB,KC,2,0,16,,0.0,0,0.0,4,60.0,0,22.2,2,9,,0.0,0,0.0,3
Thomas Fidone II,144997,TE,NYG,2,0,21,60.0,100.0,1,50.0,1,60.3,0,100.0,2,2,60.0,100.0,1,50.0,1
Mykal Walker,57834,LB,NYJ,2,0,22,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
Dalton Wagner,58493,T,LV,1,0,23,60.0,100.0,1,50.0,1,70.1,0,100.0,2,2,63.4,100.0,1,50.0,1
Jawhar Jordan,99595,HB,HST,4,0,13,,0.0,0,0.0,14,60.0,0,4.4,2,45,,0.0,0,0.0,28
Brett Rypien,46487,QB,MIN,1,0,18,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Kobe King,145097,LB,NYJ,2,0,22,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
James Daniels,45576,G,MIA,1,0,17,60.0,100.0,1,50.0,1,59.4,0,100.0,2,2,60.0,100.0,1,50.0,1
Sidy Sow,59675,G,HST,1,0,13,52.4,100.0,2,100.0,2,52.4,0,100.0,2,2,,,0,0.0,0
Samori Toure,25276,WR,NO,1,0,20,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Charley Hughlett,7336,LS,PHI,1,0,24,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Kaden Davis,156151,WR,CLV,1,0,8,60.0,100.0,1,100.0,1,60.0,0,100.0,1,1,,,0,0.0,0
Bryan Anger,7072,P,DAL,1,0,9,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Cam Jones,81244,LB,NYJ,1,0,22,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Jeffery Simmons,43742,DI,TEN,1,2,31,60.0,100.0,1,100.0,1,60.0,4,100.0,1,1,,,0,0.0,0
Zach Wood,11414,LS,NO,1,0,20,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Kendall Milton,124031,HB,CIN,1,0,7,,0.0,0,0.0,1,60.0,0,25.0,1,4,,0.0,0,0.0,2
Tommy Togiai,82501,DI,HST,1,0,13,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Sydney Brown,83241,S,PHI,1,0,24,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Isaiah Stalbird,83325,LB,NO,1,0,20,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Jerome Ford,83601,HB,CLV,9,0,8,,0.0,0,0.0,9,60.0,0,4.0,1,25,,0.0,0,0.0,13
Luke Rhodes,10940,LS,IND,1,0,14,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Sione Vaki,158505,HB,DET,2,0,11,,0.0,0,0.0,1,60.0,0,50.0,1,2,,,0,0.0,0
D.J. Davidson,56523,DI,NYG,1,0,21,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Patrick Johnson,56460,ED,PHI,1,0,24,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Adetomiwa Adebawore,97934,DI,IND,1,0,14,,,0,0.0,0,60.0,1,100.0,1,1,,,0,0.0,0
Chris Rumph II,56345,ED,NO,1,0,20,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Kai Kroeger,124245,P,NO,1,0,20,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Cody Lindenberg,129660,LB,LV,1,0,23,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Isaiah Oliver,50393,S,NYJ,1,0,22,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Isaac Yiadom,49355,CB,NO,1,0,20,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Austin Ajiake,83826,LB,IND,1,0,14,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Segun Olubi,128312,LB,IND,1,0,14,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Pete Werner,58093,LB,NO,1,0,20,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Derrick Barnes,58120,LB,DET,1,0,11,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Buddy Johnson,58189,LB,IND,1,0,14,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Lawrence Cager,34914,TE,WAS,1,0,32,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Jack Fox,34735,P,DET,1,0,11,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
AJ Cole,36038,P,LV,1,0,23,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Jon Rhattigan,57718,LB,LV,1,0,23,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Jacob Bobenmoyer,30352,LS,LV,1,0,23,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Ty Summers,30242,LB,CHI,1,0,6,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Casey Kreiter,8959,LS,NYG,1,0,21,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Mac McWilliams,121497,CB,PHI,1,0,24,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Trey Sermon,57372,HB,PIT,1,0,25,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Jarius Monroe,103580,S,NYJ,1,0,22,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Trent Sieg,27036,LS,DAL,1,0,9,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
C.J. Hanson,102272,G,KC,1,0,16,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Hogan Hatten,102135,LS,DET,1,0,11,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Daniel Thomas,42544,S,DET,1,0,11,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Jaylan Ford,123114,LB,NO,1,0,20,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Danny Stutsman,144632,LB,NO,1,0,20,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Brittain Brown,40399,HB,CHI,2,0,6,,0.0,0,0.0,3,60.0,0,16.7,1,6,,0.0,0,0.0,2
Craig Reynolds,94383,HB,DET,2,0,11,,,0,0.0,0,60.0,0,25.0,1,4,,0.0,0,0.0,3
Rigoberto Sanchez,12130,P,IND,1,0,14,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Smael Mondon Jr.,146725,LB,PHI,1,0,24,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Younghoe Koo,12042,K,NYG,1,0,21,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Michael Davis,12040,CB,NO,1,0,20,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Malachi Moore,123928,S,NYJ,1,0,22,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Tristin McCollum,66771,S,LV,1,0,23,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Mecole Hardman Jr.,42683,WR,BUF,1,0,4,60.0,100.0,1,100.0,1,60.0,0,100.0,1,1,,,0,0.0,0
Tommy Eichenberg,101488,LB,LV,1,0,23,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Easton Mascarenas-Arnold,71410,LB,CLV,1,0,8,60.0,100.0,1,100.0,1,60.0,0,100.0,1,1,,,0,0.0,0
Qwan'tez Stiggers,169764,CB,NYJ,1,0,22,,,0,0.0,0,60.0,1,100.0,1,1,,,0,0.0,0
Jamal Agnew,11920,WR,ATL,1,0,2,,,0,0.0,0,60.0,0,100.0,1,1,60.0,100.0,1,100.0,1
Jeremiah Trotter Jr.,144142,LB,PHI,1,0,24,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Jordan McFadden,77578,G,CHI,1,0,6,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Daniel Hardy,91336,ED,CHI,1,0,6,,,0,0.0,0,60.0,0,100.0,1,1,60.0,100.0,1,100.0,1
Roschon Johnson,99467,HB,CHI,2,0,6,,0.0,0,0.0,1,60.0,0,33.3,1,3,,0.0,0,0.0,1
Trevor Nowaske,169859,ED,DET,1,0,11,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
